nom groupe ssgroupe Energie EnergiePredite Eau Proteines Glucides Lipides Sucres Fibres Polyols Alcool AcidesOrganiques Calcium Cuivre Fer Magnesium Manganese Phosphore Potassium Zinc VitamineC
"Scarole, crue" légumes "légumes crus" NA 13.816357821938363 93.8 1.25 0.3 0.2 0.23 3.1 NA 0 NA 52 0.099 0.83 15 0.42 28 314 0.79 6.5
"Betterave rouge, crue" légumes "légumes crus" NA 50.85926207426773 86.7 1.74 9.1 0.24 6.76 2.55 NA 0 NA 22.1 0.098 0.7 19 0.46 38.1 328 0.54 6.45
"Légumes, mélange surgelé, crus" légumes "légumes crus" 65.1 62.94938143720121 85.2 2.26 5.71 2.65 2.18 4.7 0.035 0 NA 33 0.093 0.98 24 0.24 59 212 0.45 13.7
"Champignon, chanterelle ou girolle, crue" légumes "légumes crus" 33.1 32.149056926013806 88.7 2.28 2.3 0.78 1.87 4.23 0.43 0 NA 8.33 0.39 3.52 10 0.28 53.5 449 0.84 5.5
"Champignon, morille, crue" légumes "légumes crus" 24.5 25.666084751881108 89.6 3.16 0.1 0.54 0.044 3.35 0.056 0 NA 43 0.63 1.2 19 0.59 194 411 2.03 5
"Maïs doux, en épis, surgelé, cru" légumes "légumes crus" NA 98.55258955359278 73.3 3.36 17 1.19 3.78 2.65 NA 0 NA 4.18 0.15 0.59 30.3 0.25 108 276 1.05 6.9
"Oseille, crue" légumes "légumes crus" NA 26.02853763505903 93 1.84 1.6 0.65 1.54 1.8 NA 0 NA 44 0.13 2.4 103 0.35 63 390 0.2 48
"Champignon, pleurote, crue" légumes "légumes crus" 25.5 28.92455362965554 89.2 3.06 1.5 0.36 0.71 2.4 0.45 0 NA 5 0.24 1.17 18 0.11 120 420 0.77 4
"Chou blanc, cru" légumes "légumes crus" 36.5 35.0801297232987 90 1.38 4.63 0.6 4.2 3.5 NA 0 0.18 59 0.02 0.3 11 0.1 33 240 0.16 8.88
"Tomate verte, crue" légumes "légumes crus" NA 27.96957933328124 93 1.2 4 0.2 4 1.1 NA 0 NA 13 0.09 0.51 10 0.1 28 204 0.07 23.4
"Haricot de Lima, cru" légumes "légumes crus" 105 105.99435330497326 70.2 6.84 15.3 0.86 1.48 4.9 0.36 0 NA 34 0.32 3.14 58 1.22 136 467 0.78 23.4
"Courge doubeurre (butternut), pulpe, crue" légumes "légumes crus" NA 31.488822271174346 86.4 1 5.4 0.1 2.2 2 NA 0 NA 48 0.072 0.7 34 0.2 33 352 0.15 21
"Courge, crue" légumes "légumes crus" NA 17.85295302567613 92.3 1.1 1.6 0.17 1.6 1.3 NA 0 NA 28.5 0.061 0.6 16.5 0.17 30.5 312 0.26 14.7
"Courge spaghetti, pulpe, crue" légumes "légumes crus" NA 34.18216829968315 91.6 0.64 5.41 0.57 2.76 1.5 NA 0 NA 23 0.037 0.31 12 0.13 12 108 0.19 2.1
"Piment, cru" légumes "légumes crus" NA 46.80613955893919 87.9 1.87 7.7 0.32 5.3 1.65 NA 0 NA 14 0.15 1.12 24 0.21 55.3 331 0.28 155
"Champignon, oronge vraie, crue" légumes "légumes crus" 23.2 26.826679230483833 92.9 2 2.45 0.3 1 1.7 0.45 0 NA 17 NA 1.1 NA NA 89 320 0.4 3
"Champignon, cèpe, cru" légumes "légumes crus" 31.6 35.88431566430687 90.3 3.13 3.03 0.43 1.7 1.93 0.45 0 NA 23 0.23 1 12 0.17 129 361 0.4 3
"Champignon, rosé des prés, cru" légumes "légumes crus" 25.3 29.24940024271062 92.1 2.3 2.45 0.4 1 1.7 0.45 0 NA 10 NA 1.2 NA NA 102 320 0.4 4
