nom groupe ssgroupe Energie Eau Proteines Glucides Lipides Sucres Fibres Calcium Cuivre Fer Magnesium Manganese Phosphore Potassium Zinc VitamineC
"Chou vert, cru" légumes "légumes crus" NA 91.8 2.53 1.92 0.41 1.92 3.08 96.2 0.049 0.93 18 0.17 32.7 231 0.22 69
"Haricot vert, surgelé, cru" légumes "légumes crus" 34 89.4 1.97 4.35 0.17 1.96 3.68 51.5 0.063 0.85 22 0.29 40.8 186 0.31 18
"Petits pois, crus" légumes "légumes crus" NA 79.2 5.84 7 0.55 5.67 5.5 27.5 0.14 1.64 30.5 0.4 119 272 1 41.5
"Asperge, pelée, crue" légumes "légumes crus" NA 93.3 2.04 2.4 0.21 1.88 1.95 22 0.12 1.32 11.5 0.16 52 202 0.49 8.8
"Chou-fleur, surgelé, cru" légumes "légumes crus" NA 92.5 2.09 2.64 0.37 1.91 1.82 21.7 0.031 0.51 12 0.2 41.6 193 0.17 51.9
"Épinard, surgelé, cru" légumes "légumes crus" NA 91.6 2.87 0.89 0.49 0.6 2.7 159 0.12 2.28 50.5 0.53 47.7 398 0.49 21.4
"Petits pois, surgelés, crus" légumes "légumes crus" NA 80.2 5.86 8.77 0.44 3.87 6.45 27.3 0.15 1.53 25.9 0.35 86.9 158 0.86 20.8
"Scarole, crue" légumes "légumes crus" NA 93.8 1.25 0.3 0.2 0.23 3.1 52 0.099 0.83 15 0.42 28 314 0.79 6.5
"Betterave rouge, crue" légumes "légumes crus" NA 86.7 1.74 9.1 0.24 6.76 2.55 22.1 0.098 0.7 19 0.46 38.1 328 0.54 6.45
"Légumes, mélange surgelé, crus" légumes "légumes crus" 65.1 85.2 2.26 5.71 2.65 2.18 4.7 33 0.093 0.98 24 0.24 59 212 0.45 13.7
"Champignon, chanterelle ou girolle, crue" légumes "légumes crus" 33.1 88.7 2.28 2.3 0.78 1.87 4.23 8.33 0.39 3.52 10 0.28 53.5 449 0.84 5.5
"Champignon, morille, crue" légumes "légumes crus" 24.5 89.6 3.16 0.1 0.54 0.044 3.35 43 0.63 1.2 19 0.59 194 411 2.03 5
"Maïs doux, en épis, surgelé, cru" légumes "légumes crus" NA 73.3 3.36 17 1.19 3.78 2.65 4.18 0.15 0.59 30.3 0.25 108 276 1.05 6.9
"Oseille, crue" légumes "légumes crus" NA 93 1.84 1.6 0.65 1.54 1.8 44 0.13 2.4 103 0.35 63 390 0.2 48
"Champignon, pleurote, crue" légumes "légumes crus" 25.5 89.2 3.06 1.5 0.36 0.71 2.4 5 0.24 1.17 18 0.11 120 420 0.77 4
"Chou blanc, cru" légumes "légumes crus" 36.5 90 1.38 4.63 0.6 4.2 3.5 59 0.02 0.3 11 0.1 33 240 0.16 8.88
"Tomate verte, crue" légumes "légumes crus" NA 93 1.2 4 0.2 4 1.1 13 0.09 0.51 10 0.1 28 204 0.07 23.4
"Haricot de Lima, cru" légumes "légumes crus" 105 70.2 6.84 15.3 0.86 1.48 4.9 34 0.32 3.14 58 1.22 136 467 0.78 23.4
"Courge doubeurre (butternut), pulpe, crue" légumes "légumes crus" NA 86.4 1 5.4 0.1 2.2 2 48 0.072 0.7 34 0.2 33 352 0.15 21
"Courge, crue" légumes "légumes crus" NA 92.3 1.1 1.6 0.17 1.6 1.3 28.5 0.061 0.6 16.5 0.17 30.5 312 0.26 14.7
"Courge spaghetti, pulpe, crue" légumes "légumes crus" NA 91.6 0.64 5.41 0.57 2.76 1.5 23 0.037 0.31 12 0.13 12 108 0.19 2.1
