nom groupe ssgroupe Energie Eau Proteines Glucides Lipides Sucres Fibres Calcium Cuivre Fer Magnesium Manganese Phosphore Potassium Zinc VitamineC
"Brocoli, bouilli/cuit à l'eau, fondant" légumes "légumes cuits" 23.1 93.8 2.19 1.03 0.5 0.6 3 43 0.15 0.33 11 0.17 39 90 0.18 18.1
"Brocoli, cuit à la vapeur" légumes "légumes cuits" 37.6 89.4 4.13 2.53 0.7 1.5 2.2 36 0.04 0.58 23 0.28 72 340 0.53 20.7
"Carotte, cuite à la vapeur" légumes "légumes cuits" 41.6 87.7 0.63 7.33 0.3 6.9 3.7 26 0.04 0.22 10 0.18 19 240 0.21 1.28
"Chou-fleur, cuit à la vapeur" légumes "légumes cuits" 30.1 91.1 2.56 3.41 0.3 2.4 1.8 26 0.03 0.38 12 0.16 46 300 0.28 21.4
"Céleri rave, bouilli/cuit à l'eau" légumes "légumes cuits" 26.2 91 0.94 4.32 0.3 1.2 2.6 41 0.11 0.27 10 0.16 38 300 0.17 0.87
"Haricot beurre, bouilli/cuit à l'eau" légumes "légumes cuits" 34.6 89.6 2.19 4.45 0.3 2.2 2.7 56 0.13 0.99 26 0.35 43 210 0.34 7.57
"Oignon nouveau ou oignon frais ou cébette, sauté/poêlé sans matière grasse" légumes "légumes cuits" 27.6 91.2 1.13 3.56 0.3 2.8 3.1 55 0.03 0.85 11 0.36 26 260 0.21 7.38
"Panais, cuit à l'étouffée" légumes "légumes cuits" 90.8 73.6 1.94 16.6 0.5 6.2 5.6 44 0.14 0.37 25 0.16 74 510 0.35 7.92
"Petits pois, bouillis/cuits à l'eau" légumes "légumes cuits" 80.3 77.4 6.38 9.93 0.6 1.6 4.8 38 0.14 1.2 29 0.29 100 190 0.72 11.4
"Poivron jaune, sauté/poêlé sans matière grasse" légumes "légumes cuits" 35.8 90.5 1 5.33 0.6 4.9 2.2 7.3 0.06 0.23 11 0.09 23 220 0.14 126
"Poivron vert, sauté/poêlé sans matière grasse" légumes "légumes cuits" 28.6 92.4 1.25 3.53 0.3 3.1 3 6.7 0.05 0.21 9.5 0.08 20 200 0.12 64.6
"Potimarron, pulpe, bouilli/cuit à l'eau" légumes "légumes cuits" 38.2 88.9 1.06 6.88 0.3 3.5 1.8 18 0.08 0.19 8.5 0.06 27 330 0.24 8.65
"Tomate, rôtie/cuite au four" légumes "légumes cuits" 25.3 92.6 1 3.53 0.4 3.1 1.9 12 0.03 0.22 9.2 0.18 29 310 0.11 14.9
"Échalote, sautée/poêlée sans matière grasse" légumes "légumes cuits" 66.9 81.5 2 12.3 0.4 3.8 2.9 22 0.09 0.25 11 0.12 48 270 0.27 0.84
"Légumes pour couscous, cuits" légumes "légumes cuits" NA 91.7 1.53 2.55 0.43 1.1 2.6 39 0.1 0.7 15 0.2 38 208 0.3 18
"Légume cuit (aliment moyen)" légumes "légumes cuits" 43.5 88.3 2.11 5.81 0.3 2.48 2.71 30.3 0.097 0.46 17 0.16 51.8 261 0.31 8.84
"Gombo, fruit, cuit" légumes "légumes cuits" NA 92.6 1.87 2.01 0.21 2.01 2.5 77 0.085 0.28 36 0.29 32 135 0.43 16.3
"Carotte, déshydratée" légumes "légumes séchés ou déshydratés" NA 4 8.1 56 1.49 38.8 23.6 212 0.37 3.93 118 1.12 346 2540 1.57 14.6
"Oignon, séché" légumes "légumes séchés ou déshydratés" NA 3.93 8.95 75 0.46 37.4 9.2 257 0.42 1.55 92 1.39 303 1620 1.89 75
"Tomate, séchée" légumes "légumes séchés ou déshydratés" NA 14.6 14.2 43.3 2.99 37.6 12.3 110 1.42 9.09 194 1.85 356 3430 1.99 39.2
"Champignon, lentin comestible ou shiitaké, séché" légumes "légumes séchés ou déshydratés" 316 9.5 9.58 63.9 0.99 2.21 11.5 11 5.17 1.72 132 1.18 294 1530 7.66 3.5
"Tomate, séchée, à l'huile" légumes "légumes séchés ou déshydratés" 187 60.4 4.27 13.4 11.7 6.5 5.63 47 0.47 2.68 81 0.47 139 1570 0.78 102
"Giraumon (variété locale), pulpe, cuit à la vapeur, prélevé à la Martinique" légumes "légumes et leurs produits de la Martinique" NA 91.8 1.1 4.51 0.097 1.91 2 NA NA NA NA NA NA 321 NA NA
"Giraumon (variété phoenix), pulpe, cuit à la vapeur, prélevé à la Martinique" légumes "légumes et leurs produits de la Martinique" NA 90.6 1.03 5.62 0.05 1.56 2 NA NA NA NA NA NA 442 NA NA
"Patate douce, pulpe, cuite à la vapeur, prélevée à la Martinique" légumes "légumes et leurs produits de la Martinique" NA 63.3 1.48 25.2 0.067 0.19 9.2 NA 0.26 NA NA 0.026 NA 425 NA 12.5
"Cassis, cru" fruits "fruits crus" NA 80.5 1.33 9.68 0.86 9.68 5.8 57.1 0.093 1.17 23 0.28 53.5 330 0.28 181
"Coing, cru" fruits "fruits crus" NA 83.8 0.51 13.4 0.1 6.3 1.9 11 0.13 0.7 8 NA 17 197 0.04 15
"Framboise, crue" fruits "fruits crus" 49.2 86.8 1.19 5.83 0.8 5.4 4.3 16 0.04 0.4 20 0.44 29 170 0.24 18.7
"Fruit de la passion ou maracudja, pulpe et pépins, cru" fruits "fruits crus" 101 73.6 2.13 10.9 3 8.5 6.8 8.1 0.15 0.56 26 0.19 46 240 0.76 25.6
"Grenade, pulpe et pépins, crue" fruits "fruits crus" 80.6 79.4 1.44 14.3 1.2 13.3 2.3 9.5 0.11 0.17 12 0.1 27 230 0.22 9.02
"Groseille, crue" fruits "fruits crus" 68.5 82.1 1.56 7.06 0.7 6.63 4.6 38 0.09 0.35 12 0.13 38 230 0.15 29.8
"Kiwi, pulpe et graines, cru" fruits "fruits crus" 60.5 83.5 0.88 11 0.6 8.9 2.4 29 0.15 0.16 12 0.05 26 290 0.12 81.9
"Myrtille, crue" fruits "fruits crus" 57.7 84.2 0.87 10.6 0.33 9.96 2.4 6 0.057 0.28 6 0.34 12 77 0.16 9.7
"Mûre (de ronce), crue" fruits "fruits crus" 47.3 86.1 1.13 6.53 0.7 6.1 5.2 31 0.07 0.4 20 1.1 25 200 0.18 10.1
"Nectarine ou brugnon, pulpe et peau, crue" fruits "fruits crus" NA 87.6 1.16 8.9 0.31 7.89 1.7 3.38 0.078 0.28 8.31 0.061 26.7 201 0.091 5.4
"Poire, pulpe et peau, crue" fruits "fruits crus" NA 83.5 0.49 10.9 0.27 9.01 2.9 6.46 0.071 0.072 8.23 0.03 15.4 132 0.097 4.62
"Pomme, pulpe et peau, crue" fruits "fruits crus" NA 85.4 0.25 11.6 0.25 9.35 1.4 5.34 0.041 0.099 6.47 0.036 14.4 119 0.031 6.25
"Pêche, pulpe et peau, crue" fruits "fruits crus" NA 88.6 1.08 9 0.33 8.16 1.6 7.32 0.075 0.15 11.2 0.064 21 215 0.12 6.6
"Raisin noir, cru" fruits "fruits crus" NA 84 0.63 15.6 0.4 15 1.4 8.98 0.078 0.2 6.78 0.051 21.8 152 0.038 10.8
"Rhubarbe, tige, crue" fruits "fruits crus" NA 92 0.78 1.47 0.23 1.47 2.47 129 0.039 0.28 13.5 0.16 18.6 239 0.17 9.7
"Pomme, pulpe, crue" fruits "fruits crus" NA 86.7 0.27 10.7 0.13 10.1 1.3 5 0.031 0.07 4 0.038 11 90 0.05 4
"Carambole, pulpe, crue" fruits "fruits crus" NA 91.4 1.15 3.9 0.32 3.9 2.8 3 0.14 0.08 10 0.037 12 133 0.12 34.4
"Anone ou chérimole, pulpe, crue" fruits "fruits crus" NA 79.4 1.72 15.4 0.64 12.9 2.65 9 0.069 0.29 17 0.093 26 287 0.16 12.1
"Feijoa, pulpe, crue" fruits "fruits crus" NA 83.3 0.71 8.2 0.42 8.2 6.4 17 0.036 0.14 9 0.084 19 172 0.06 32.9
"Figue de Barbarie, pulpe et graines, crue" fruits "fruits crus" NA 88.4 0.37 6 0.31 1.02 4.45 118 0.019 0.25 77 0.58 17.5 175 0.14 12.5
"Mûre noire (du mûrier), crue" fruits "fruits crus" NA 87.7 1.44 8.1 0.39 8.1 1.7 39 0.06 1.85 18 1.1 38 194 0.12 36.4
"Tamarin, fruit mûr, pulpe, cru" fruits "fruits crus" NA 31.4 2.65 57.4 0.6 38.8 5.1 74 0.086 2.8 92 NA 113 628 0.1 3.5
"Goyave, pulpe, crue" fruits "fruits crus" NA 83.5 1.59 9.02 0.73 8.92 5.15 14 0.23 0.26 16 0.15 40 308 0.21 228
"Pomme Canada, pulpe, crue" fruits "fruits crus" NA 84.4 0.4 11.6 0.1 11 1.6 3.59 0.035 0.14 3.76 0.03 8.61 154 0.09 4
"Prune, crue" fruits "fruits crus" NA 87 0.66 9.92 0.29 9.92 1.5 7.29 0.06 0.16 6 0.076 17.8 149 0.096 7.25
"Raisin Chasselas, cru" fruits "fruits crus" 79.1 79.4 0.75 16.9 0.5 16.5 2 16 0.08 0.14 7.5 0.07 21 150 0.07 4.14
"Poire, pulpe, crue" fruits "fruits crus" NA 85.1 0.3 10.4 0.1 10.4 2.47 11 0.06 0.2 7 0 13 150 0.1 6
"Griotte, crue" fruits "fruits crus" NA 86.1 1.1 10.5 0.3 8.49 1.65 16 0.1 0.32 9 0.11 15 173 0.1 10
"Raisin, cru" fruits "fruits crus" NA 80.5 0.72 15.7 0.16 15.5 0.9 10 0.13 0.36 7 0.071 20 191 0.07 3.2
"Canneberge ou cranberry, crue" fruits "fruits crus" NA 86.8 0.75 7.6 0.13 4.04 5.13 11 0.061 0.44 6 0.36 13.5 98.8 0.1 13.7
"Citron, zeste, cru" fruits "fruits crus" NA 81.6 1.38 5.4 0.3 4.17 10.6 134 0.092 0.9 15 NA 12 160 0.25 129
"Myrtille, surgelée, crue" fruits "fruits crus" NA 84.3 0.68 8.9 0.43 8.9 2.81 10 0.035 0.39 4.25 0.18 10 55.5 0.068 8.08
"Salade de fruits, crue" fruits "fruits crus" NA 78 0.5 11.4 0.15 11.2 1.23 14.5 0.071 0.29 16.4 0.34 16.7 203 0.094 20
"Framboise, surgelée, crue" fruits "fruits crus" NA 85.9 1.16 6.43 0.8 6.03 6.05 29.9 0.11 0.78 17 1.2 38 228 0.34 24.5
"Pomelo (dit Pamplemousse) jaune, pulpe, cru" fruits "fruits crus" NA 90.5 0.69 7.31 0.1 7.31 1.1 12 0.05 0.06 9 0.013 8 148 0.07 33.3
"Pomelo (dit Pamplemousse) rose, pulpe, cru" fruits "fruits crus" NA 88.1 0.77 6.2 0.14 6.2 1.6 22 0.032 0.08 9 0.022 18 135 0.07 31.2
"Kumquat, sans pépin, cru" fruits "fruits crus" NA 81.9 1.57 9.6 1.18 9.36 5.45 65.5 0.095 0.67 17.5 0.14 19 158 0.13 45
"Melon miel ou melon honeydew, pulpe, cru" fruits "fruits crus" NA 91.9 0.58 4.3 0.17 4.3 0.75 6 0.033 0.34 9.08 0.034 15.8 237 0.086 16.8
"Fruits rouges, crus (framboises, fraises, groseilles, cassis)" fruits "fruits crus" NA 84.5 1.11 7.88 0.31 7.4 5.3 40 0.088 1 16.9 0.42 32.6 225 0.22 87
"Fruit cru (aliment moyen)" fruits "fruits crus" 59.5 84.5 0.7 11.6 0.26 9.89 1.97 14.5 0.059 0.18 12.1 0.12 20.1 197 0.11 20.9
"Compote de pomme" fruits "compotes et assimilés" 102 72.9 0.23 24.4 0.21 20.7 1.53 4.44 0.043 0.11 5.09 0.027 6 104 0.025 14.5
"Rhubarbe, tige, cuite, sucrée" fruits "compotes et assimilés" NA 67.8 0.39 29.2 0.05 28.7 2 145 0.027 0.21 12 0.073 8 96 0.08 3.3
"Chayote ou christophine ou chouchou, crue" fruits "compotes et assimilés" NA 94.2 0.72 2.8 0.12 1.66 1.7 17 0.12 0.34 12 0.19 18 125 0.74 7.7
"Compote, tout type de fruits, allégée en sucres, rayon frais" fruits "compotes et assimilés" NA 83.9 0.32 14.9 0.48 14.3 1.4 4.7 0.04 0.09 4.7 0.03 9.6 120 NA 10.1
"Dessert de fruits, tout type de fruits (en taux de sucres : compotes allégées en sucres < desserts de fruits < compotes allégée)" fruits "compotes et assimilés" NA 79.4 0.32 19.5 0.2 16.6 1.61 4 0.04 0.15 4 0.03 9.3 130 NA 11.8
"Pomme, pulpe, bouillie/cuite à l'eau" fruits "compotes et assimilés" NA 85.5 0.26 11.2 0.36 11 2.4 5 0.035 0.19 3 0.12 8 88 0.04 0.2
"Compote ou assimilé, tout type de fruits, teneur en sucre (allégée en sucres ou non, sans sucres ajoutés...) inconnue (aliment moyen)" fruits "compotes et assimilés" 80.1 78.9 0.25 18.6 0.15 16.7 1.68 7.87 0.046 0.092 5.59 0.05 10 132 0.033 19.6
"Abricot au sirop (sans précision sur léger ou classique), appertisé, égoutté (aliment moyen)" fruits "fruits appertisés" NA 81 0.5 16.2 0.25 15.3 1.4 16 0.04 0.13 5.3 0.02 10 130 0.06 0.25
"Macédoine ou cocktail ou salade de fruits, au sirop (sans précision sur léger ou classique), appertisé, égouttée (aliment moyen)" fruits "fruits appertisés" NA 81.6 0.25 16.2 0.25 13.2 2.02 11.6 0.07 0.11 4.24 0.084 9.04 70.3 0.025 2.91
"Abricot au sirop léger, appertisé, non égoutté" fruits "fruits appertisés" NA 83.5 0.81 14 0.043 14 0.83 14.3 0.036 0.1 4.74 0.026 9.25 136 0.06 2.28
"Pêche au sirop léger, appertisée, non égouttée" fruits "fruits appertisés" NA 84.3 0.31 14.1 0.038 12.9 0.92 9.57 0.038 0.13 4.88 0.02 9.79 100 0.054 3.32
"Poire au sirop léger, appertisée, non égouttée" fruits "fruits appertisés" NA 83.7 0.3 14.5 0.12 12.1 1.23 5 0.049 0.28 4 0.033 7 66 0.08 0.7
"Abricot, dénoyauté, sec" fruits "fruits séchés" 239 24.7 2.88 59.1 0.5 34.3 8.3 71 0.45 1.4 41 0.27 79 1400 0.35 NA
"Datte, pulpe et peau, sèche" fruits "fruits séchés" NA 22.9 1.81 64.7 0.25 64.7 7.3 44.9 0.22 0.9 47.3 0.3 62 696 0.23 3
"Figue, sèche" fruits "fruits séchés" NA 30.1 2.99 54.3 0.87 49.2 9.72 167 0.27 2.12 52.5 0.4 75.1 845 0.51 1.2
"Pruneau, sec" fruits "fruits séchés" 229 34.9 1.63 55.4 0.4 38.1 5.1 50 0.23 0.38 30 0.25 66 610 0.28 NA
"Raisin, sec" fruits "fruits séchés" 321 16 3 73.2 0.9 70.3 4.2 54 0.38 1.7 35 0.28 82 960 0.24 NA
"Mélange apéritif de fruits exotiques, sec" fruits "fruits séchés" 389 11.7 2.19 69.5 10.5 59.4 3.4 43 0.26 1.1 39 0.45 67 530 0.32 0.69
"Banane, pulpe, sèche" fruits "fruits séchés" NA 3 3.89 78.4 1.81 47.3 9.9 22 0.39 1.15 108 0.57 74 1490 0.61 7
"Pomme, sèche" fruits "fruits séchés" NA 31.8 0.78 57.2 0.31 54.6 8.7 22 0.12 1.4 10.5 0.15 38 450 0.2 3.9
"Abricot, dénoyauté, sec, moelleux (réhydraté à 35-45%)" fruits "fruits séchés" 200 39.3 2.31 51.1 0.4 29.9 3.5 53 0.29 0.86 32 0.19 59 980 0.3 NA
"Abricot pays, pulpe, au sirop, appertisé, non égoutté, prélevé à la Martinique" fruits "fruits et leurs produits de la Martinique" NA 84.5 0.28 13.3 0.1 7.3 1.8 NA NA NA NA NA NA NA NA 0
"Abricot pays, pulpe, cru, prélevé à la Martinique" fruits "fruits et leurs produits de la Martinique" NA 85.4 0.48 10.8 0.05 3.7 3.1 NA 0.095 NA NA NA NA NA NA NA
"Chips d'abricot pays, pulpe, prélevé à la Martinique" fruits "fruits et leurs produits de la Martinique" NA 5.13 0.96 68.7 18.7 33.3 6.2 NA NA NA NA NA NA NA NA 0.2
"Jus de mandarine commune, pur jus filtré, prélevée à la Martinique" fruits "fruits et leurs produits de la Martinique" NA 90 0.61 8.63 0.57 8.63 NA NA NA NA NA NA NA 102 NA 26.7
"Jus de mandarine macaque, pur jus filtré, prélevée à la Martinique" fruits "fruits et leurs produits de la Martinique" NA 88.2 0.6 10.8 0 3.87 NA NA NA NA NA NA NA 199 NA 6
"Jus de prune de cythère verte ""géante"" (variété locale), fruit mûr, pur jus filtré, prélevée à la Martinique" fruits "fruits et leurs produits de la Martinique" NA 91.1 0.29 7.13 0.19 4.34 1 NA NA NA NA NA NA NA NA 16.5
"Jus de prune de cythère verte ""géante"" (variété locale), fruit vert, pur jus filtré, prélevée à la Martinique" fruits "fruits et leurs produits de la Martinique" NA 91.7 0.44 6.55 0.28 0.03 0.8 NA NA NA NA NA NA NA NA 21.1
"Jus de prune de cythère verte ""naine"" (variété hybride), fruit mûr, pur jus filtré, prélevée à la Martinique" fruits "fruits et leurs produits de la Martinique" NA 87.8 0.69 9.97 0.21 6.14 0.9 NA NA NA NA NA NA NA NA 34.3
"Jus de prune de cythère verte ""naine"" (variété hybride), fruit vert, pur jus filtré, prélevée à la Martinique" fruits "fruits et leurs produits de la Martinique" NA 91.6 0.67 6.34 0.26 0.19 0.8 NA NA NA NA NA NA NA NA 45.5
"Mangue José, pulpe, crue, prélevée à La Réunion (Mangifera indica L.)" fruits "fruits et leurs produits de la Réunion" 88.8 77.1 0.75 19.3 0.5 18.4 1.8 14 0.08 0.12 14 0.07 13 150 0.08 2.9
